Name,Date,Status,Type,Pack ID,Article,Section,Difficulty,Minutes,Prompt,Tracker ID
Cuba’s broken economy leaves it at Donald Trump’s mercy,2026-03-31,completed,study,te-2026-03-21-2026-03-31,the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy,The Americas,C2 (83),40,Use 'Cuba’s broken economy leaves it at Donald Trump’s mercy' as background. Discuss whether governments should prioritise short-term stability or long-term reform when facing international pressure.,te-2026-03-21-2026-03-31:study:1
Cuba’s broken economy leaves it at Donald Trump’s mercy - same_day_recall,2026-03-31,completed,review,te-2026-03-21-2026-03-31,the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy,The Americas,C2 (83),10,Retell the article from memory in 5 bullet points.,te-2026-03-21-2026-03-31:review:the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy:same_day_recall
Cuba’s broken economy leaves it at Donald Trump’s mercy - next_day_retell,2026-04-01,pending,review,te-2026-03-21-2026-03-31,the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy,The Americas,C2 (83),10,Speak for 90 seconds without notes.,te-2026-03-21-2026-03-31:review:the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy:next_day_retell
Cuba’s broken economy leaves it at Donald Trump’s mercy - three_day_phrase_review,2026-04-03,pending,review,te-2026-03-21-2026-03-31,the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy,The Americas,C2 (83),10,Reuse 5 phrases from the article in original sentences.,te-2026-03-21-2026-03-31:review:the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy:three_day_phrase_review
Cuba’s broken economy leaves it at Donald Trump’s mercy - one_week_writing_reuse,2026-04-07,pending,review,te-2026-03-21-2026-03-31,the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy,The Americas,C2 (83),10,Write a 180-word opinion paragraph using the article as evidence.,te-2026-03-21-2026-03-31:review:the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy:one_week_writing_reuse
Cuba’s broken economy leaves it at Donald Trump’s mercy - two_week_speaking_reuse,2026-04-14,pending,review,te-2026-03-21-2026-03-31,the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy,The Americas,C2 (83),10,Answer one IELTS-style Part 3 question related to the topic.,te-2026-03-21-2026-03-31:review:the-americas-cuba-s-broken-economy-leaves-it-at-donald-trump-s-mercy:two_week_speaking_reuse
China cannot escape the energy shock,2026-04-01,pending,study,te-2026-03-21-2026-03-31,finance-economics-china-cannot-escape-the-energy-shock,Finance & economics,C2 (85),40,Use 'China cannot escape the energy shock' as background. Discuss whether governments should prioritise short-term stability or long-term reform when facing international pressure.,te-2026-03-21-2026-03-31:study:2
China cannot escape the energy shock - same_day_recall,2026-04-01,pending,review,te-2026-03-21-2026-03-31,finance-economics-china-cannot-escape-the-energy-shock,Finance & economics,C2 (85),10,Retell the article from memory in 5 bullet points.,te-2026-03-21-2026-03-31:review:finance-economics-china-cannot-escape-the-energy-shock:same_day_recall
China cannot escape the energy shock - next_day_retell,2026-04-02,pending,review,te-2026-03-21-2026-03-31,finance-economics-china-cannot-escape-the-energy-shock,Finance & economics,C2 (85),10,Speak for 90 seconds without notes.,te-2026-03-21-2026-03-31:review:finance-economics-china-cannot-escape-the-energy-shock:next_day_retell
China cannot escape the energy shock - three_day_phrase_review,2026-04-04,pending,review,te-2026-03-21-2026-03-31,finance-economics-china-cannot-escape-the-energy-shock,Finance & economics,C2 (85),10,Reuse 5 phrases from the article in original sentences.,te-2026-03-21-2026-03-31:review:finance-economics-china-cannot-escape-the-energy-shock:three_day_phrase_review
